iter	Passed	Remaining
0	0	94
1	1	92
2	2	88
3	3	81
4	4	80
5	5	79
6	5	78
7	6	77
8	7	75
9	8	75
10	9	74
11	10	74
12	11	73
13	12	74
14	13	74
15	13	73
16	14	72
17	15	71
18	16	70
19	17	69
20	18	68
21	19	67
22	20	67
23	21	66
24	21	65
25	22	65
26	23	64
27	24	62
28	25	62
29	26	61
30	27	61
31	28	60
32	29	59
33	30	58
34	31	58
35	32	57
36	33	56
37	34	56
38	35	55
39	36	54
40	37	53
41	37	51
42	38	50
43	39	50
44	41	50
45	42	49
46	43	48
47	44	47
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	42
54	50	41
55	51	40
56	52	39
57	53	39
58	55	38
59	56	37
60	57	36
61	58	35
62	58	34
63	59	33
64	60	32
65	61	31
66	62	30
67	63	29
68	64	28
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	74	18
80	75	17
81	76	16
82	77	15
83	78	14
84	79	14
85	80	13
86	81	12
87	82	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	87	4
95	88	3
96	89	2
97	90	1
98	90	0
99	91	0
